providerEventId,providerMarketId,providerMarketName,statId,entityId,period,side,line,normalizationStatus
"FOSE1zBUNvmhacWfDJh5","points-home-1h-ml3way-home","1st Half 3-Way Moneyline","points","home","1h","HOME","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-all-1h-eo-even","Total 1st Half Points Even/Odd","points","all","1h","EVEN","","UNMAPPED"
"FOSE1zBUNvmhacWfDJh5","points-all-1h-eo-odd","Total 1st Half Points Even/Odd","points","all","1h","ODD","","UNMAPPED"
"FOSE1zBUNvmhacWfDJh5","points-all-1q-eo-even","Total 1st Quarter Points Even/Odd","points","all","1q","EVEN","","UNMAPPED"
"FOSE1zBUNvmhacWfDJh5","points-all-1q-eo-odd","Total 1st Quarter Points Even/Odd","points","all","1q","ODD","","UNMAPPED"
"FOSE1zBUNvmhacWfDJh5","points-all-1q-ml3way-draw","1st Quarter 3-Way Moneyline","points","all","1q","DRAW","","UNMAPPED"
"FOSE1zBUNvmhacWfDJh5","points-away-1h-eo-even","New York Jets 1st Half Points Even/Odd","points","away","1h","EVEN","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-away-1h-eo-odd","New York Jets 1st Half Points Even/Odd","points","away","1h","ODD","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-away-1q-eo-even","New York Jets 1st Quarter Points Even/Odd","points","away","1q","EVEN","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-away-1q-eo-odd","New York Jets 1st Quarter Points Even/Odd","points","away","1q","ODD","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-away-1q-ml3way-away","1st Quarter 3-Way Moneyline","points","away","1q","AWAY","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-home-1h-eo-even","Detroit Lions 1st Half Points Even/Odd","points","home","1h","EVEN","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-home-1h-eo-odd","Detroit Lions 1st Half Points Even/Odd","points","home","1h","ODD","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-home-1q-eo-even","Detroit Lions 1st Quarter Points Even/Odd","points","home","1q","EVEN","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-home-1q-eo-odd","Detroit Lions 1st Quarter Points Even/Odd","points","home","1q","ODD","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-home-1q-ml3way-home","1st Quarter 3-Way Moneyline","points","home","1q","HOME","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-all-2q-ml3way-draw","2nd Quarter 3-Way Moneyline","points","all","2q","DRAW","","UNMAPPED"
"FOSE1zBUNvmhacWfDJh5","points-all-3q-ml3way-draw","3rd Quarter 3-Way Moneyline","points","all","3q","DRAW","","UNMAPPED"
"FOSE1zBUNvmhacWfDJh5","points-all-4q-ml3way-draw","4th Quarter 3-Way Moneyline","points","all","4q","DRAW","","UNMAPPED"
"FOSE1zBUNvmhacWfDJh5","points-away-1h-yn-no","New York Jets Any 1st Half Points Yes/No","points","away","1h","NO","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-away-1h-yn-yes","New York Jets Any 1st Half Points Yes/No","points","away","1h","YES","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-away-2h-yn-no","New York Jets Any 2nd Half Points Yes/No","points","away","2h","NO","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-away-2h-yn-yes","New York Jets Any 2nd Half Points Yes/No","points","away","2h","YES","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-away-2q-ml3way-away","2nd Quarter 3-Way Moneyline","points","away","2q","AWAY","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-away-3q-ml3way-away","3rd Quarter 3-Way Moneyline","points","away","3q","AWAY","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-away-4q-ml3way-away","4th Quarter 3-Way Moneyline","points","away","4q","AWAY","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-home-2q-ml3way-home","2nd Quarter 3-Way Moneyline","points","home","2q","HOME","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-home-3q-ml3way-home","3rd Quarter 3-Way Moneyline","points","home","3q","HOME","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-home-4q-ml3way-home","4th Quarter 3-Way Moneyline","points","home","4q","HOME","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-all-2h-ml3way-draw","2nd Half 3-Way Moneyline","points","all","2h","DRAW","","UNMAPPED"
"FOSE1zBUNvmhacWfDJh5","points-away-2h-ml3way-away","2nd Half 3-Way Moneyline","points","away","2h","AWAY","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-home-2h-ml3way-home","2nd Half 3-Way Moneyline","points","home","2h","HOME","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-all-2h-eo-even","Total 2nd Half Points Even/Odd","points","all","2h","EVEN","","UNMAPPED"
"FOSE1zBUNvmhacWfDJh5","points-all-2h-eo-odd","Total 2nd Half Points Even/Odd","points","all","2h","ODD","","UNMAPPED"
"FOSE1zBUNvmhacWfDJh5","points-away-2h-eo-even","New York Jets 2nd Half Points Even/Odd","points","away","2h","EVEN","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-away-2h-eo-odd","New York Jets 2nd Half Points Even/Odd","points","away","2h","ODD","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-home-2h-eo-even","Detroit Lions 2nd Half Points Even/Odd","points","home","2h","EVEN","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-home-2h-eo-odd","Detroit Lions 2nd Half Points Even/Odd","points","home","2h","ODD","","PARTIALLY_MAPPED"
"N7NOi3M6n1BxFnb2HEeg","defense_safeties-all-game-yn-no","Any Defensive Safeties Yes/No","defense_safeties","all","game","NO","","UNMAPPED"
"N7NOi3M6n1BxFnb2HEeg","defense_safeties-all-game-yn-yes","Any Defensive Safeties Yes/No","defense_safeties","all","game","YES","","UNMAPPED"
"N7NOi3M6n1BxFnb2HEeg","points-all-game-eo-even","Total Points Even/Odd","points","all","game","EVEN","","UNMAPPED"
"N7NOi3M6n1BxFnb2HEeg","points-all-game-eo-odd","Total Points Even/Odd","points","all","game","ODD","","UNMAPPED"
